time,ACB,BCM,BID,CTG,DGC,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE,VN30
2019-11-30,-0.0416666666666666,-0.0929078014184398,0.0315884476534296,-0.070506454816286,0.0475504322766568,-0.0258126195028681,-0.0289990645463049,-0.0554235946159937,-0.1013745704467353,0.0478723404255319,0.0146520146520146,-0.0373692077727951,-0.056628914057295,-0.1251908396946564,-0.0288421052631578,-0.1324535679374389,-0.0917431192660551,-0.0727532097004279,-0.0648148148148148,-0.0339285714285713,-0.0236593059936908,-0.0271782573940848,0.032631899969503,-0.0384615384615385,-0.0277935337492909,-0.0006896551724137,-0.0654633278250922,-0.0626780626780626,0.0376506024096385,-0.0381605757142237
2019-12-31,-0.0134932533733133,0.1024237685691946,0.1395450568678915,0.0213675213675215,-0.0591471801925721,0.0333660451422963,-0.0675979447655747,-0.2212908633696564,0.0401529636711281,0.0279187817258883,0.0,-0.0605590062111801,-0.1927966101694915,0.045956951716114,-0.0277476696293085,0.0089014084507041,0.0808080808080808,-0.0876923076923077,-0.0049504950495048,0.0277264325323474,-0.0387722132471728,0.0668310052040537,-0.0772297696396928,0.0124999999999999,-0.0060287825748736,0.0089717046238784,-0.0329162132752992,-0.0075987841945288,-0.0130624092888245,-0.0094763766662535
2020-01-31,0.0091185410334346,-0.0695035460992907,0.1159309021113244,0.1684100418410041,0.0087719298245614,-0.1077872744539411,-0.0768038574134665,0.0193756727664156,-0.0202205882352941,0.0259259259259261,-0.03971119133574,0.0,-0.1132983377077865,-0.0280867630700778,-0.0535117056856186,-0.0701362519544337,0.1542056074766356,-0.0202360876897133,0.0149253731343281,-0.0827338129496403,-0.0067226890756302,-0.0166880616174583,0.0318450952152344,-0.0123456790123456,-0.0017609078458226,-0.1094391244870041,-0.0686357243319267,0.122511485451761,-0.1161764705882353,-0.0346165221941618
2020-02-29,0.0948795180722892,-0.1074695121951218,-0.1166150670794633,0.054610564010743,-0.0086956521739131,0.0596061734965407,-0.1236709569110241,0.1298838437170009,0.0300187617260787,-0.0722021660649819,0.0563909774436088,-0.0198347107438017,-0.0219536260483472,-0.0389127324749641,-0.0263839811542992,-0.2215950036031708,0.5506072874493926,-0.1015490533562822,0.1372549019607842,0.0303921568627452,0.0236886632825719,-0.071018276762402,-0.0812655086848636,0.0575000000000001,-0.0817326538612309,-0.063748079877112,-0.0368468740561763,0.2114597544338337,-0.0515806988352746,-0.0196316415870284
2020-03-31,-0.2929848693259972,-0.3360375747224594,-0.3220404984423676,-0.331918505942275,-0.2046783625730993,-0.2541436464088398,-0.2771392081736908,-0.3130841121495327,-0.3588342440801457,-0.2464332036316472,-0.2135231316725978,-0.3355817875210792,0.0,-0.4468591842810361,-0.2550205661746915,-0.2408578923005708,0.2689295039164492,-0.2701149425287356,-0.3706896551724138,-0.3254043767840152,-0.1983471074380165,-0.2476110174255199,-0.3158338960162052,-0.293144208037825,-0.2087513340448239,-0.2026251025430681,-0.1291941047350266,-0.3772522522522522,-0.3280701754385965,-0.2658869911174681
2020-04-30,0.151750972762646,0.4398713826366558,0.1539345203905802,0.1626429479034308,0.3768382352941175,0.2356902356902357,0.1569493521790341,0.3306122448979591,0.1590909090909091,0.2753872633390706,0.253393665158371,0.1776649746192893,0.1999999999999999,0.3869752421959096,0.104254628126015,0.3254065040650404,0.3045267489711933,0.299212598425197,0.2465753424657533,0.1466854724964741,0.0144329896907215,0.0967500933881211,0.1561806069578089,0.1337792642140467,0.101699487456164,0.1882716049382715,0.0878646020885849,0.209764918625678,0.2062663185378592,0.1712129150566508
2020-05-31,0.1165540540540541,0.1089772219740954,0.1264310602289695,0.1256830601092897,0.3778371161548732,0.1057220708446864,0.1735810638839399,0.1431492842535788,0.1715686274509804,0.2753036437246963,0.1263537906137184,0.0775862068965518,0.0664144598570828,0.0353123787349631,0.145,0.0821959822113171,-0.1198738170347002,0.1393939393939391,0.131868131868132,0.2029520295202951,0.184959349593496,0.2530653950953678,0.2044387537345282,0.1238938053097344,0.0555827619980411,-0.0216450216450216,0.1617014233697451,0.1390134529147981,0.1904761904761904,0.1270742174940236
2020-06-30,-0.0045385779122542,0.0036246476037054,-0.054794520547945,-0.0427184466019419,0.073643410852713,-0.04780680137999,-0.0726523530687486,-0.1368515205724507,0.0251046025104602,-0.0222222222222221,0.0384615384615385,-0.034,-0.1371698856917619,-0.0449775112443777,-0.0357051117390188,-0.1099617401161965,-0.07168458781362,0.0,0.0436893203883494,-0.0552147239263802,-0.0017152658662091,-0.0576243544441423,-0.0143515237420268,0.0682414698162729,-0.0823474831825561,-0.0442477876106194,-0.0072659923065963,-0.1246719160104987,-0.0981818181818181,-0.0442801681902187
2020-07-31,-0.0136778115501519,-0.0184590690208668,-0.0327255726975221,-0.0162271805273833,-0.1191335740072202,-0.0253623188405798,-0.0042095416276893,-0.0911917098445597,-0.0346938775510203,-0.0097402597402597,0.0,-0.05175983436853,-0.0664687071722248,-0.0777080062794348,-0.0516782099094298,0.0700525394045532,-0.0926640926640925,-0.026595744680851,-0.0604651162790698,-0.0725108225108225,0.0,-0.0484568791462359,0.0291209778896277,0.0343980343980343,-0.0169362992922144,-0.125,-0.050516647531573,-0.0119940029985007,0.0120967741935484,-0.0386746784680673
2020-08-31,0.2249614791987673,0.2869991823385118,0.1169647172547123,0.2123711340206187,0.3043032786885247,0.1364843335103558,0.1312822921559417,0.1847206385404789,0.1839323467230442,0.1311475409836064,0.1234567901234566,0.1397379912663754,0.0890628823097627,0.2536170212765958,0.2441011235955055,0.13986013986014,0.1787234042553191,0.1001821493624772,0.1089108910891087,0.1738623103850642,0.092783505154639,0.0863898150954836,0.0103056768558953,0.2232779097387174,0.0285420416559527,0.08994708994709,0.1307436517533253,0.1562974203338392,0.0756972111553784,0.1123216286636155
